"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BANNOCK","005","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","625","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BEAR LAKE","007","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","230","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BINGHAM","011","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","3,452","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BONNEVILLE","019","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,127","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","BUTTE","023","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","196","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CARIBOU","029","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","658","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CLARK","033","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","133","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","CUSTER","037","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","259","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FRANKLIN","041","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,079","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","FREMONT","043","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,189","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","JEFFERSON","051","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,596","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","LEMHI","059","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","315","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","MADISON","065","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,534","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","ONEIDA","071","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","373","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","POWER","077","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,595","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","EAST","90","TETON","081","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","515","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BENEWAH","009","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","195","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BONNER","017","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","473","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","BOUNDARY","021","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","728","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","CLEARWATER","035","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","166","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","IDAHO","049","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","476","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","KOOTENAI","055","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","575","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LATAH","057","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","752","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","LEWIS","061","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","212","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","NEZ PERCE","069","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","518","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","NORTH","10","SHOSHONE","079","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","25","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","BLAINE","013","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","351","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","CAMAS","025","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","183","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","CASSIA","031","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","3,075","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","GOODING","047","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","2,506","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","JEROME","053","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","2,451","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","LINCOLN","063","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","637","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","MINIDOKA","067","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","2,331","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTH CENTRAL","80","TWIN FALLS","083","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","2,916","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","ADA","001","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,883","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","ADAMS","003","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","172","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","BOISE","015","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","68","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","CANYON","027","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","5,122","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","ELMORE","039","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,459","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","GEM","045","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","609","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","OWYHEE","073","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,024","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","PAYETTE","075","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,098","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","VALLEY","085","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","89","35.3"
"CENSUS","2017","YEAR","","COUNTY","IDAHO","16","SOUTHWEST","70","WASHINGTON","087","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","615","35.3"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTH CENTRAL","20","GILLIAM","021","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","164","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTH CENTRAL","20","HOOD RIVER","027","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","7,330","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTH CENTRAL","20","MORROW","049","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","1,582","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTH CENTRAL","20","SHERMAN","055","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","201","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTH CENTRAL","20","WASCO","065","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","8,273","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTHEAST","30","BAKER","001","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","679","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTHEAST","30","UMATILLA","059","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","3,939","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTHEAST","30","UNION","061","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","826","29.2"
"CENSUS","2017","YEAR","","COUNTY","OREGON","41","NORTHEAST","30","WALLOWA","063","","","00000000","","LABOR","LABOR, HIRED - NUMBER OF WORKERS","TOTAL","NOT SPECIFIED","434","29.2"
