state,year,total_pop,white,black,ai,api,other,hispanic
oregon,1990,4891769,4512523,244539,39387,53583,41737,93194
oregon,1980,4705767,4443035,182592,29499,18164,32477,62972
oregon,1970,4417731,4446088,128224,18924,7665,3959,NA
oregon,1960,3951777,3858903,74546,14297,2836,1195,NA
oregon,1950,3434575,3392690,28182,12196,1229,278,NA
oregon,1940,3137587,3112752,12158,12265,412,NA,1759
oregon,1930,2939006,2916255,10739,11548,464,NA,NA
oregon,1920,2632067,2616938,5201,9611,317,NA,NA
oregon,1910,2333860,2320555,2900,10142,263,NA,NA
oregon,1900,2069042,2057911,2542,8372,217,NA,NA
oregon,1890,1693330,1680828,2444,9930,128,NA,NA
oregon,1880,1315497,1309618,2702,3161,16,NA,NA
oregon,1870,1054670,105351,2113,1206,NA,NA,NA
oregon,1860,775881,773693,1171,1017,NA,NA,NA
oregon,1850,305391,304756,635,NA,NA,NA,NA
oregon,1840,30945,30749,196,NA,NA,NA,NA
oregon,1830,3635,3571,64,NA,NA,NA,NA
oregon,1820,1444,1427,17,NA,NA,NA,NA
idaho,1990,1006749,950451,3370,13780,9365,29783,52927
idaho,1980,943935,901641,2716,10521,5948,23109,36615
idaho,1970,712567,698802,2130,6687,3212,1736,NA
idaho,1960,667191,657383,1502,5231,2758,317,NA
idaho,1950,588637,581395,1050,3800,2304,88,NA
idaho,1940,524873,519292,595,3537,1449,NA,2719
idaho,1930,445032,438840,668,3638,1886,NA,NA
idaho,1920,431866,425668,920,3098,2180,NA,NA
idaho,1910,325594,319221,651,3488,2234,NA,NA
idaho,1900,161772,154495,293,4226,2758,NA,NA
idaho,1890,88548,82117,201,4223,2007,NA,NA
idaho,1880,32610,29013,53,165,3379,NA,NA
idaho,1870,14999,10618,60,47,4274,NA,NA
washington,1990,4866692,4308937,149801,81483,210958,115513,214570
washington,1980,4132156,3779170,105574,60804,102537,84071,120016
washington,1970,3409169,3251055,71308,33386,44060,9360,NA
washington,1960,2853214,2751675,48738,21076,29253,2472,NA
washington,1950,2378963,2316496,30691,13816,17376,584,NA
washington,1940,1736191,1698147,7424,11394,19226,NA,2398
washington,1930,1563396,1521661,6840,11253,23642,NA,NA
washington,1920,1356621,1319777,6883,9061,20900,NA,NA
washington,1910,1141990,1109111,6058,10997,15824,NA,NA
washington,1900,518103,496304,2514,10039,9246,NA,NA
washington,1890,357232,340829,1602,11181,3620,NA,NA
washington,1880,75116,67199,325,4405,3187,NA,NA
washington,1870,23955,22195,207,1319,234,NA,NA
washington,1860,11594,11138,30,426,NA,NA,NA
washington,1850,1201,1049,152,NA,NA,NA,NA
